GO:0008150 GO:0140676
GO:0008150 GO:0033214
GO:0008150 GO:0006119
GO:0008150 GO:0031952
GO:0008150 GO:0006914
GO:0008150 GO:0039677
GO:0008150 GO:0051321
GO:0008150 GO:0019660
GO:0008150 GO:0098814
GO:0008150 GO:0000910
GO:0008150 GO:0042391
GO:0008150 GO:0060285
GO:0008150 GO:0048136
GO:0008150 GO:0007212
GO:0008150 GO:0099112
GO:0008150 GO:0039703
GO:0008150 GO:0009758
GO:0008150 GO:0006887
GO:0008150 GO:0050884
GO:0008150 GO:0050885
GO:0008150 GO:0039664
GO:0008150 GO:0039692
GO:0008150 GO:0000747
GO:0008150 GO:0039691
GO:0008150 GO:0022616
GO:0008150 GO:0042060
GO:0008150 GO:0001552
GO:0008150 GO:0046785
GO:0008150 GO:0007188
GO:0008150 GO:0007340
GO:0008150 GO:0006098
GO:0008150 GO:0006412
GO:0008150 GO:0061619
GO:0008150 GO:0061613
GO:0008150 GO:0071030
GO:0008150 GO:0006413
GO:0008150 GO:0006897
GO:0008150 GO:0061857
GO:0008150 GO:0006777
GO:0008150 GO:0072089
GO:0008150 GO:0098795
GO:0008150 GO:0071031
GO:0008150 GO:0098039
GO:0008150 GO:0140253
GO:0008150 GO:0090611
GO:0008150 GO:1990426
GO:0008150 GO:0038004
GO:0008150 GO:0071036
GO:0008150 GO:0006260
GO:0008150 GO:0044471
GO:0008150 GO:0007199
GO:0008150 GO:0007595
GO:0008150 GO:0032258
GO:0008150 GO:0099098
GO:0008150 GO:0009777
GO:0008150 GO:0097194
GO:0008150 GO:0061623
GO:0008150 GO:0061625
GO:0008150 GO:0039689
GO:0008150 GO:0039688
GO:0008150 GO:0097754
GO:0008150 GO:0019226
GO:0008150 GO:0090680
GO:0008150 GO:0001655
GO:0008150 GO:0031507
GO:0008150 GO:0000045
GO:0008150 GO:0061721
GO:0008150 GO:0080120
GO:0008150 GO:0061688
GO:0008150 GO:0044660
GO:0008150 GO:0006791
GO:0008150 GO:0032203
GO:0008150 GO:0007369
GO:0008150 GO:0006434
GO:0008150 GO:0007004
GO:0008150 GO:0090718
GO:0008150 GO:0002753
GO:0008150 GO:0006956
GO:0008150 GO:0098976
GO:0008150 GO:0019740
GO:0008150 GO:0098977
GO:0008150 GO:0120077
GO:0008150 GO:0120113
GO:0008150 GO:0000278
GO:0008150 GO:0001881
GO:0008150 GO:0160131
GO:0008150 GO:0007534
GO:0008150 GO:0075043
GO:0008150 GO:0009555
GO:0008150 GO:0061722
GO:0008150 GO:0002007
GO:0008150 GO:0031583
GO:0008150 GO:0034080
GO:0008150 GO:0070930
GO:0008150 GO:0090382
GO:0008150 GO:0010707
GO:0008150 GO:0010706
GO:0008150 GO:0006614
GO:0008150 GO:0007304
GO:0008150 GO:0075713
GO:0008150 GO:0098876
GO:0008150 GO:0001109
GO:0008150 GO:0160032
GO:0008150 GO:0061706
GO:0008150 GO:0035209
GO:0008150 GO:0031128
GO:0008150 GO:0012501
GO:0008150 GO:0097278
GO:0008150 GO:0039640
GO:0008142 GO:0120021
GO:0008134 GO:0001010
GO:0042101 GO:0036398
GO:0034455 GO:0030686
GO:0034455 GO:0032040
GO:0008104 GO:0034080
GO:0008104 GO:0060271
GO:0005244 GO:0061577
GO:0005244 GO:0090676
GO:0005244 GO:0098989
GO:0005245 GO:0061577
GO:0005245 GO:0090676
GO:0005261 GO:0140227
GO:0005261 GO:0098991
GO:0005261 GO:0061577
GO:0005261 GO:0090676
GO:0005262 GO:0061577
GO:0005262 GO:0090676
GO:0005267 GO:0098991
GO:0005272 GO:0098991
GO:0003690 GO:0038185
GO:0003690 GO:0003700
GO:0003690 GO:0034246
GO:0003684 GO:0140612
GO:0003682 GO:0140463
GO:0003677 GO:0038185
GO:0003677 GO:0140612
GO:0003677 GO:0015616
GO:0003677 GO:0003700
GO:0003677 GO:0003689
GO:0003677 GO:0034246
GO:0003677 GO:0140658
GO:0003677 GO:0061860
GO:0003677 GO:0003916
GO:0003676 GO:0038185
GO:0003676 GO:0000900
GO:0003676 GO:0062153
GO:0003676 GO:1990247
GO:0003676 GO:0140658
GO:0003676 GO:0008135
GO:0003676 GO:0061860
GO:0003676 GO:0140610
GO:0003676 GO:0140764
GO:0003676 GO:0160089
GO:0003676 GO:0140612
GO:0003676 GO:0001070
GO:0003676 GO:0015616
GO:0003676 GO:0003700
GO:0003676 GO:0003689
GO:0003676 GO:0034246
GO:0003676 GO:0003916
GO:0003674 GO:0038185
GO:0003674 GO:0017002
GO:0003674 GO:0038064
GO:0003674 GO:0043773
GO:0003674 GO:0048306
GO:0003674 GO:0052889
GO:0003674 GO:0001699
GO:0003674 GO:0001698
GO:0003674 GO:0061762
GO:0003674 GO:0043490
GO:0003674 GO:0044183
GO:0003674 GO:0070915
GO:0003674 GO:0004690
GO:0003674 GO:0008135
GO:0003674 GO:0005021
GO:0003674 GO:0140676
GO:0003674 GO:0033215
GO:0003674 GO:0097281
GO:0003674 GO:0097280
GO:0003674 GO:0001171
GO:0003674 GO:0005026
GO:0003674 GO:0097282
GO:0003674 GO:0006635
GO:0003674 GO:0006910
GO:0003674 GO:0098772
GO:0003674 GO:0140311
GO:0003674 GO:0035472
GO:0003674 GO:0052776
GO:0003674 GO:0038101
GO:0003674 GO:0015464
GO:0003674 GO:0019660
GO:0003674 GO:0017089
GO:0003674 GO:0019420
